Distance (mm),dERR,V1,rERR1,V2,rERR2
50,0.5,4.67,0.04,3.25,0.02
55,0.5,4.73,0.04,3.26,0.03
60,0.5,4.77,0.05,3.26,0.02
65,0.5,4.83,0.05,3.28,0.02
70,0.5,4.87,0.05,3.3,0.02
75,0.5,4.92,0.05,3.29,0.02
80,0.5,4.95,0.05,3.29,0.02
85,0.5,4.98,0.06,3.27,0.02
90,0.5,5.02,0.06,3.25,0.02
95,0.5,5.04,0.06,3.24,0.01
