Distance (mm),dERR,F1,rERR1,F2,rERR2
50,0.5,55.4,0.7,77.3,0.4
55,0.5,56.1,0.7,75.7,0.4
60,0.5,56,2,74.6,0.4
65,0.5,57.1,0.6,72.8,0.6
70,0.5,57.1,0.7,72.1,0.5
75,0.5,58,0.7,71.1,0.4
80,0.5,58.4,0.7,70.3,0.4
85,0.5,58.7,0.8,69.7,0.4
90,0.5,59.1,0.7,68.9,0.4
95,0.5,59.4,0.7,68.1,0.4
